line,station,distance_from_start
Green,Inderlok,0.0
Green,Ashok Park Main,1.4
Green,Punjabi Bagh,2.3
Green,Shivaji Park,3.9
Green,Madipur,5.0
Green,Paschim Vihar (East),5.7
Green,Paschim Vihar (West),6.7
Green,Peera Garhi,7.6
Green,Udyog Nagar,8.8
Green,Maharaja Surajmal Stadium,9.5
Green,Nangloi,10.3
Green,Nangloi Railway Station,11.2
Green,Rajdhani Park,12.4
Green,Mundka,13.7
Green,Mundka Industrial Area (MIA),15.0
Green,Ghevra Metro Station,17.1
Green,Tikri Kalan,18.9
Green,Tikri Border,20.2
Green,Pandit Shree Ram Sharma,21.5
Green,Bahadurgarh City,23.0
Green,Brigadier Hoshiar Singh,24.8